LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
Other,25000000.0,1060.9750000000001,13.0,WEST,2.5,4.0,4.0,House,15.0,1,1,1,0,1,1,1,0,0,1,1,11
Other,28000000.0,1026.75,20.0,WEST,2.5,5.0,4.0,House,7.0,1,1,0,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",27000000.0,1095.2,14.0,SOUTH-WEST,2.5,5.0,3.0,House,7.0,0,1,1,0,1,1,1,0,0,1,1,11
"Bhaisepati, Lalitpur",39900000.0,1437.45,16.0,SOUTH,2.5,5.0,5.0,House,7.0,1,1,1,0,1,1,1,0,0,1,1,11
"Bhaisepati, Lalitpur",49900000.0,1711.25,16.0,SOUTH,3.5,4.0,4.0,House,7.0,2,1,1,0,1,1,1,0,0,1,0,11
"Lubhu, Lalitpur",17000000.0,1437.45,10.0,EAST,2.5,5.0,3.0,House,7.0,0,1,0,0,1,1,0,1,1,1,1,11
"Bhaisepati, Lalitpur",42500000.0,1129.425,20.0,SOUTH-WEST,2.5,4.0,4.0,House,7.0,0,1,1,1,1,1,1,0,0,1,0,11
"Sanagaun, Lalitpur",17000000.0,1026.75,13.0,WEST,2.0,4.0,2.0,House,6.0,1,1,1,1,1,1,1,0,0,1,0,11
Other,52500000.0,1711.25,20.0,SOUTH-EAST,2.5,5.0,4.0,Bungalow,7.0,2,1,1,1,1,1,1,0,0,1,0,11
Other,25000000.0,1711.25,13.0,SOUTH,2.5,7.0,3.0,House,9.0,2,1,1,1,0,1,1,0,1,0,0,11
"Bhangal, Kathmandu",32000000.0,1437.45,13.0,WEST,2.5,7.0,5.0,House,4.0,2,1,1,0,1,1,1,0,1,0,1,11
"Tikathali, Lalitpur",25000000.0,1095.2,18.0,SOUTH,3.0,6.0,3.0,House,7.0,0,1,1,0,1,1,1,0,0,1,1,11
"Imadol, Lalitpur",23500000.0,1095.2,13.0,WEST,2.5,4.0,3.0,House,7.0,0,1,1,0,1,1,1,0,1,0,1,11
Other,39000000.0,1026.75,13.0,WEST,2.5,3.0,4.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Budhanilkantha, Kathmandu",33000000.0,2053.5,12.0,NORTH,2.5,5.0,5.0,House,7.0,2,1,1,1,1,1,1,0,0,0,1,11
Other,85000000.0,3182.925,20.0,EAST,2.5,6.0,6.0,Bungalow,13.0,3,1,1,1,1,1,1,0,0,0,1,11
"Hepali Height, Kathmandu",60300000.0,1711.25,16.0,NORTH,3.5,4.0,4.0,Bungalow,3.0,3,1,1,1,1,1,1,0,0,0,0,11
"Imadol, Lalitpur",16500000.0,1060.9750000000001,16.0,SOUTH,2.5,4.0,2.0,House,7.0,1,1,1,0,0,1,1,0,0,1,1,11
"Imadol, Lalitpur",22500000.0,1060.9750000000001,20.0,NORTH-WEST,2.5,4.0,4.0,House,7.0,0,1,1,0,1,1,1,0,0,0,1,11
"Hepali Height, Kathmandu",33000000.0,2121.9500000000003,13.0,SOUTH,2.5,6.0,5.0,House,7.0,2,1,1,1,1,1,1,0,0,0,1,11
